date,interest_rate
22/05/1818,5
01/01/1851,4.75
01/01/1881,3.5
01/01/1905,3
01/01/1916,3.5
01/01/1946,1.5
01/01/1960,3.25
01/01/1966,3
01/01/1968,3.5
01/06/1969,4
01/01/1970,4.25
01/07/1973,4.25
01/01/1974,6
01/01/1975,7.5
01/01/1976,6.5
15/11/1977,6.5
01/09/1978,6.5
27/11/1980,6.5
16/10/1981,8.5
01/08/1983,7.5
16/08/1984,6.5
01/07/1985,6
16/05/1986,4.5
31/05/1986,4.5
30/06/1987,4.5
01/05/1990,4.5
30/10/1991,4.5
01/03/1996,3.5
16/06/1998,3
01/08/1999,2.25
01/07/2000,3
01/08/2003,2.25
01/08/2005,2
01/02/2006,2.25
01/08/2006,2.75
01/08/2007,3
01/02/2008,3.5
01/08/2008,4
01/02/2009,2.5
01/05/2009,1.75
01/08/2009,1.25
01/08/2010,1.75
01/02/2011,2
01/08/2011,2.25
01/10/2012,2.25
01/02/2013,1.75
01/08/2013,1.25
01/08/2014,1
01/08/2015,0.75
01/02/2016,0.75
01/08/2016,0.75
01/02/2017,0.75
01/08/2017,0.75
01/02/2020,0.5
01/02/2022,1
01/08/2022,2
01/02/2023,3